,flags-body,item-title,item-promo,item-features,item-price,price-ship,price-offers
2221,None,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-NH71T",None,"{'Type': ' Content Creation / Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 4.41 lbs.', 'Graphics Card': ' NVIDIA GeForce RTX 3050 Ti Laptop GPU', 'Model #': ' UM535QE-NH71T', 'Item #': ' N82E16834236180', 'Return Policy': ' Extended Holiday Return Policy'}",999.99,Free Shipping,(2 Offers)
2222,Lowest price,New ASUS TUF 15.6 FHD Laptop | Intel Core i7-10870H Processor | 32GB RAM | 1TB SSD | NVIDIA GeForce GTX 1660Ti | RGB Backlit Keyboard | Windows 10 Home,"Limited time offer, while supplies last.","{'Type': ' Gaming', 'Graphics Card': ' NVIDIA GeForce GTX 1660Ti', 'Color': ' Grey', 'Operating System': ' Windows 10 Home', 'Model #': ' ASUS/32/1', 'Item #': ' 9SIAEYJHAH2368', 'Return Policy': ' View Return Policy'}",949.99,Free Shipping,None
2223,None,"MSI Laptop Prestige 14 Evo Intel Core i5 12th Gen 1240P (1.70GHz) 16 GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14 Evo A12M-081",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.60 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' PS 14Evo A12M-081', 'Item #': ' N82E16834156235', 'Return Policy': ' Extended Holiday Return Policy'}",599.00,Free Shipping,(2 Offers)
2224,None,"MSI Laptop Modern 15 AMD Ryzen 7 5000 Series 5700U (1.80GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 A5M-288","Free wireless mouse w/ purchase, limited offer","{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.52 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' Modern 15 A5M-288', 'Item #': ' N82E16834156239', 'Return Policy': ' Extended Holiday Return Policy'}",499.00,Free Shipping,None
2225,None,"New Dell Inspiron 15.6"" WVA Full HD Touchscreen Laptop Intel core i7-1165G7 32GB RAM 1TB SSD 1TB HDD Windows 11 Pro Black",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Color': ' Black', 'Model #': ' B2C_i3511-7125BLK_32_1SD+1_Pro', 'Return Policy': ' View Return Policy'}","1,164.00",Free Shipping,(24 Offers)
2226,None,"ASUS VivoBook S14 S435 Laptop, 14"" FHD Display, Intel Evo Platform, i7-1165G7 CPU, 8GB RAM, 512GB PCIe SSD, Windows 11 Home, AI Noise-Cancellation, Deep Green, S435EA-DH71-GR",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.87 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' S435EA-DH71-GR', 'Item #': ' N82E16834236026', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(3 Offers)
2227,None,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Pro Black",None,"{'Type': ' Home / Personal', 'Color': ' Black', 'Style': ' Standard', 'Usage': ' Consumer', 'Model #': ' B2C_i3511-5101BLK_32_1SD_Pro', 'Return Policy': ' View Return Policy'}",729.69,Free Shipping,(52 Offers)
2228,None,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-NS77",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.75 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' S3502QA-NS77', 'Item #': ' N82E16834236212', 'Return Policy': ' Extended Holiday Return Policy'}",799.99,Free Shipping,None
2229,None,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD 1TB HDD Windows 11 Home Black",None,"{'Type': ' Work / Business', 'Color': ' Black', 'Model #': ' B2C_i3511-5101BLK_1_32_1SD+1_Home', 'Return Policy': ' View Return Policy'}",729.79,Free Shipping,(17 Offers)
2230,None,"ASUS VivoBook Pro 16X OLED Laptop, 16"" WQUXGA 16:10 Display, Intel Core i7-11370H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Windows 11 Pro, DialPad, Comet Grey, N7600PC-NB74",None,"{'Type': ' Gaming', 'Resolution': ' 3840 x 2400', 'Weight': ' 4.30 lbs.', 'Graphics Card': ' NVIDIA GeForce RTX 3050 Laptop GPU', 'Model #': ' N7600PC-NB74', 'Item #': ' N82E16834236012', 'Return Policy': ' Extended Holiday Return Policy'}","1,099.99",Free Shipping,(2 Offers)
2231,None,"New HP 17t Laptop, 17.3"" HD+ Touch Screen Intel core i7-1165G7 Intel Iris XE 32GB DDR4 RAM 2TB PCIe SSD Backlit Keyboard Windows 11 Home Silver",None,"{'Type': ' Work / Business', 'Color': ' Silver', 'Model #': ' B2C_17-cn0065cl_32_2SD_Home_Rev1', 'Return Policy': ' View Return Policy'}","1,224.00",Free Shipping,(10 Offers)
2232,Lowest price,"Acer Laptop Aspire 5 Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit A515-57-731E","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.88 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.K3KAA.006', 'Item #': ' N82E16834360185', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
2233,None,"MSI Laptop Intel Core i7 12th Gen 1280P (1.80GHz) 16GB Memory 1TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14Evo A12M-231",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.60 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' Prestige14EvoA12M231', 'Item #': ' N82E16834156264', 'Return Policy': ' Extended Holiday Return Policy'}",649.00,Free Shipping,(2 Offers)
2234,None,"Lenovo IdeaPad Slim 7 Carbon 14"" 2.8K OLED Touchscreen Laptop AMD Ryzen 7-5800U 16GB RAM 512GB SSD Cloud Grey","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 2880 x 1800', 'Bluetooth': ' Yes', 'Webcam': ' Yes', 'Model #': ' 82L10001US', 'Item #': ' 2WC-000J-016G4', 'Return Policy': ' Extended Holiday Return Policy'}",799.99,Free Shipping,None
2235,None,"ASUS VivoBook 16X OLED Laptop, 16"" 4K OLED 16:10 Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Quiet Blue, M1603QA-NS77","Eligible for Black Friday Price Protection, See Details","{'Type': ' Content Creation / Home / Personal', 'Resolution': ' 3840 x 2400', 'Weight': ' 3.70 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' M1603QA-NS77', 'Item #': ' N82E16834236292', 'Return Policy': ' Extended Holiday Return Policy'}",849.99,Free Shipping,None
2236,None,"Acer Laptop Aspire 5 Intel Core i5 11th Gen 1135G7 (2.40GHz) 12GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit A514-54-5819 - OEM",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.20 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.A2AAA.001', 'Item #': ' N82E16834360142', 'Return Policy': ' Extended Holiday Return Policy'}",499.99,Free Shipping,(4 Offers)
2237,None,"MSI Laptop Modern 15 AMD Ryzen 5 5000 Series 5500U (2.10GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 A5M-287","Eligible for Black Friday Price Protection, See Details","{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.52 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' Modern 15 A5M-287', 'Item #': ' N82E16834156238', 'Return Policy': ' Extended Holiday Return Policy'}",449.00,Free Shipping,(2 Offers)
2238,Lowest price,"Acer Laptop Aspire 5 AMD Ryzen 7 5000 Series 5700U (1.80GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit A515-45-R1BF","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.88 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' NX.A82AA.00H', 'Item #': ' N82E16834360112', 'Return Policy': ' Extended Holiday Return Policy'}",549.99,Free Shipping,(10 Offers)
2239,None,"ASUS ZenBook 13 Ultra-Slim Laptop, 13.3"" OLED FHD NanoEdge Bezel Display, Intel Core i7-1165G7, 8GB RAM, 512GB SSD, NumberPad, Thunderbolt 4, Wi-Fi 6, Windows 11 Home, Pine Grey, UX325EA-EH71",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.51 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' UX325EA-EH71', 'Item #': ' N82E16834236059', 'Return Policy': ' Extended Holiday Return Policy'}",679.99,Free Shipping,None
2240,None,"Acer Swift 3 Intel Evo Thin & Light Laptop, 13.5"" 2256 x 1504 IPS, Intel Core i5-1135G7, Intel Iris Xe Graphics, 8GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF313-53-56UU",None,"{'Type': ' Home / Personal', 'Resolution': ' 2256 x 1504', 'Weight': ' 2.62 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.A4KAA.002', 'Item #': ' 1TS-000X-03CZ4', 'Return Policy': ' Extended Holiday Return Policy'}",449.99,Free Shipping,(3 Offers)
2241,Lowest price,"Dell Latitude 3000 3420 14"" Notebook - HD - 1366 x 768 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Graphics -",None,"{'Type': ' Work / Business', 'Resolution': ' 1366 x 768', 'Graphics Card': ' Intel Iris Xe Graphics', 'Part Number': ' Y2YWR-NW', 'Model #': ' Y2YWR', 'Item #': ' 2WC-0009-010T2', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
2242,Lowest price,"ASUS VivoBook S 14X OLED Laptop, 14.5"" OLED Display 2.8K 16:10 120Hz HDR, Intel Evo Platform, Intel Core i7-12700H CPU, 12GB RAM, 512GB SSD, Windows 11 Home, Midnight Black, S5402ZA-IS74",None,"{'Type': ' Home / Personal', 'Resolution': ' 2880 x 1800', 'Weight': ' 3.59 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' S5402ZA-IS74', 'Item #': ' N82E16834236330', 'Return Policy': ' Extended Holiday Return Policy'}",799.99,Free Shipping,(3 Offers)
2243,None,"Lenovo Laptop ThinkBook 15 G2 ITL Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit 20VE003GUS",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.75 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' 20VE003GUS', 'Return Policy': ' View Return Policy'}",632.99,Free Shipping,(17 Offers)
2244,Lowest price,"Lenovo Laptop IdeaPad Slim 7i 14ITL05 82A6000BUS Intel Core i7 11th Gen 1165G7 (2.80 GHz) 8 GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14"" IPS 1920 x 1080 Windows 10 Home 64-bit - Intel Evo",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.99 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' 82A6000BUS', 'Item #': ' 2WC-000J-012H9', 'Return Policy': ' Extended Holiday Return Policy'}",699.99,Free Shipping,None
2245,Lowest price,"HP ProBook 430 G8 13.3"" Rugged Notebook - Full HD - 1920 x 1080 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) - 8 GB RAM - 256 GB SSD - Pike Silver Plastic","Eligible for Black Friday Price Protection, See Details","{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.81 lb', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' 4J205UT#ABA', 'Item #': ' 1TS-000D-0JG82', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
2246,None,"Lenovo Laptop ThinkPad E15 G3 AMD Ryzen 5 5500U (2.10GHz) 8 GB Memory 256 GB SSD AMD Radeon Graphics 15.6"" Windows 10 Pro 64-bit",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.70 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' 20YGS02Q00', 'Item #': ' 1TS-000E-0SY74', 'Return Policy': ' Extended Holiday Return Policy'}",699.99,Free Shipping,None
2247,Lowest price,"MSI Laptop Creator M16 Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Windows 11 Home 64-bit A12UE-631","Free MSI Mouse w/ purchase, limited offer","{'Type': ' Content Creation / Gaming / Work / Business', 'Resolution': ' 2560 x 1600', 'Weight': ' 6.06 lbs.', 'Graphics Card': ' NVIDIA GeForce RTX 3060 Laptop GPU', 'Model #': ' CreatorM16 A12UE-631', 'Item #': ' N82E16834156230', 'Return Policy': ' Extended Holiday Return Policy'}","1,099.00",Free Shipping,None
2248,Lowest price,"HP 14 Series 14"" Touchscreen Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Jet Black - Intel Celeron N4020 Dual-core - M365 Personal 1 yr subscription included","+ $110 off w/ promo code NBMUK374, limited offer","{'Part Number': ' 47X81UA#ABA', 'Color': ' Black', 'Number of Cores': ' Dual-core Processor', 'Resolution': ' 1366 x 768', 'Model #': ' 14-dq0060nr', 'Item #': ' 1TS-000D-0NYM3', 'Return Policy': ' Extended Holiday Return Policy'}",289.99,Free Shipping,(6 Offers)
2249,None,"New ASUS VivoBook 15.6"" FHD LED Anti-Glare Display Laptop | 10th Gen Intel Core i7-1065G7 Processor| 12GB RAM | 512GB SSD+1TB HDD | Intel Iris Plus Graphics | Windows 10 S |Bundle Woov Wireless Mouse",None,"{'Color': ' Grey', 'Operating System': ' Windows 10 in S mode', 'CPU': ' Core i7-1065G7 Processor', 'Screen': ' 15.6', 'Model #': ' ASUS-12/512/1T', 'Item #': ' 9SIAEYJFCY5785', 'Return Policy': ' View Return Policy'}",,Free Shipping,None
2250,None,"Dell Inspiron 14"" 2-in-1 HD Touchscreen Notebook, 11th Generation Intel Core i3-1115G4,8GB DDR4 RAM,256GB SSD, Intel UHD Graphics,Wifi-AX,Bluetooth,HD Webcam,HDMI,USB, Windows 10 Pro",None,"{'Type': ' Content Creation', 'Resolution': ' 1366 x 768', 'Weight': ' 3.4', 'Graphics Card': ' Intel UHD Graphics', 'Model #': ' DELL145406i38256SD', 'Item #': ' 9SIAE4NDRP0528', 'Return Policy': ' View Return Policy'}",535.00,Free Shipping,None
2251,Lowest price,"HP 14 Series 14"" Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Snow White - Intel Celeron N4020 Dual-core - M365 Personal 1 yr subscription included","+ $130 off w/ promo code NBMUK377, limited offer","{'Type': ' Home / Personal', 'Resolution': ' 1366 x 768', 'Part Number': ' 47X78UA#ABA', 'Bluetooth': ' Yes', 'Model #': ' 14-dq0040nr', 'Item #': ' 1TS-000D-0JFS6', 'Return Policy': ' Extended Holiday Return Policy'}",259.99,Free Shipping,None
2252,None,"Asus ZenBook 13 UM325 UM325UA-DH71 13.3"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5700U Octa-core (8 Core) 1.80 GHz - 8 GB RAM - 512 GB SSD - AMD Chip - Windows 11 Home - AMD Radeon Graphic",None,"{'Number of Cores': ' 8-core Processor', 'Display Type': ' Full HD', 'Resolution': ' 1920 x 1080', 'Graphic Type': ' Integrated Card', 'Model #': ' UM325UA-DH71', 'Item #': ' 1TS-001A-05NY0', 'Return Policy': ' Extended Holiday Return Policy'}",699.99,Free Shipping,(6 Offers)
2253,None,"NEW ASUS Vivobook 17.3"" HD+ LED Notebook,10th Gen Intel Core i5-1035G1 Processor,12GB DDR4,256GB SSD Plus 1TB HDD,Intel HD Graphics,Wifi-AC,Bluetooth,USB,HDMI,Windows 11 Pro",None,"{'Type': ' Work / Business', 'Resolution': ' 1600 x 900', 'Weight': ' 5.07', 'Graphics Card': ' Intel HD Graphics', 'Model #': ' ASUSVIV17i5122561TBSDH', 'Item #': ' 9SIAE4NJ0A5803', 'Return Policy': ' View Return Policy'}",649.00,Free Shipping,None
2254,Lowest price,"HP 14 Series 14"" Touchscreen Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Snow White - Intel Celeron N4020 Dual-core - M365 Personal 1 yr subscription included","+ $120 off w/ promo code NBMUK376, limited offer","{'Type': ' Home / Personal', 'Resolution': ' 1366 x 768', 'Part Number': ' 47X83UA#ABA', 'Bluetooth': ' Yes', 'Model #': ' 14-dq0080nr', 'Item #': ' 1TS-000D-0S9N2', 'Return Policy': ' Extended Holiday Return Policy'}",299.99,Free Shipping,None
2255,None,"HP 15.6"" Full HD IPS LED Notebook,11th Gen Intel Core i5-1135G7 Quad-Core Processor,16GB DDR4 RAM,256GB SSD,Intel Iris Xe Graphics,Wifi-AC,Bluetooth,USB,HDMI, Windows 10 Pro",None,"{'Type': ' Mainstream', 'Resolution': ' 1920 x 1080', 'Weight': ' 4', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' HP15i516256SSD11ZP', 'Return Policy': ' View Return Policy'}",576.79,Free Shipping,(3 Offers)
2256,None,"Lenovo IdeaPad 3 Chromebook 11IGL05 11.6"" 4GB 32GB Intel Celeron N4020 X2 1.1GHz, Onyx Black - OEM",None,"{'Type': ' Home / Personal', 'Resolution': ' 1366 x 768', 'Graphics Card': ' Intel UHD Graphics 600', 'Part Number': ' 82BA0000US-6-NW', 'Model #': ' 82BA0000US-2D-6-NW', 'Item #': ' 1TS-000E-0P6Y1', 'Return Policy': ' Extended Holiday Return Policy'}",125.99,Free Shipping,(3 Offers)
2257,None,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-NH71T",None,"{'Type': ' Content Creation / Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 4.41 lbs.', 'Graphics Card': ' NVIDIA GeForce RTX 3050 Ti Laptop GPU', 'Model #': ' UM535QE-NH71T', 'Item #': ' N82E16834236180', 'Return Policy': ' Extended Holiday Return Policy'}",999.99,Free Shipping,(2 Offers)
2258,Lowest price,New ASUS TUF 15.6 FHD Laptop | Intel Core i7-10870H Processor | 32GB RAM | 1TB SSD | NVIDIA GeForce GTX 1660Ti | RGB Backlit Keyboard | Windows 10 Home,"Limited time offer, while supplies last.","{'Type': ' Gaming', 'Graphics Card': ' NVIDIA GeForce GTX 1660Ti', 'Color': ' Grey', 'Operating System': ' Windows 10 Home', 'Model #': ' ASUS/32/1', 'Item #': ' 9SIAEYJHAH2368', 'Return Policy': ' View Return Policy'}",949.99,Free Shipping,None
2259,None,"MSI Laptop Prestige 14 Evo Intel Core i5 12th Gen 1240P (1.70GHz) 16 GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14 Evo A12M-081",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.60 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' PS 14Evo A12M-081', 'Item #': ' N82E16834156235', 'Return Policy': ' Extended Holiday Return Policy'}",599.00,Free Shipping,(2 Offers)
2260,None,"MSI Laptop Modern 15 AMD Ryzen 7 5000 Series 5700U (1.80GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 A5M-288","Free wireless mouse w/ purchase, limited offer","{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.52 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' Modern 15 A5M-288', 'Item #': ' N82E16834156239', 'Return Policy': ' Extended Holiday Return Policy'}",499.00,Free Shipping,None
2261,None,"New Dell Inspiron 15.6"" WVA Full HD Touchscreen Laptop Intel core i7-1165G7 32GB RAM 1TB SSD 1TB HDD Windows 11 Pro Black",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Color': ' Black', 'Model #': ' B2C_i3511-7125BLK_32_1SD+1_Pro', 'Return Policy': ' View Return Policy'}","1,164.00",Free Shipping,(24 Offers)
2262,None,"ASUS VivoBook S14 S435 Laptop, 14"" FHD Display, Intel Evo Platform, i7-1165G7 CPU, 8GB RAM, 512GB PCIe SSD, Windows 11 Home, AI Noise-Cancellation, Deep Green, S435EA-DH71-GR",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.87 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' S435EA-DH71-GR', 'Item #': ' N82E16834236026', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(3 Offers)
2263,None,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Pro Black",None,"{'Type': ' Home / Personal', 'Color': ' Black', 'Style': ' Standard', 'Usage': ' Consumer', 'Model #': ' B2C_i3511-5101BLK_32_1SD_Pro', 'Return Policy': ' View Return Policy'}",729.69,Free Shipping,(52 Offers)
2264,None,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-NS77",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.75 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' S3502QA-NS77', 'Item #': ' N82E16834236212', 'Return Policy': ' Extended Holiday Return Policy'}",799.99,Free Shipping,None
2265,None,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD 1TB HDD Windows 11 Home Black",None,"{'Type': ' Work / Business', 'Color': ' Black', 'Model #': ' B2C_i3511-5101BLK_1_32_1SD+1_Home', 'Return Policy': ' View Return Policy'}",729.79,Free Shipping,(17 Offers)
2266,None,"ASUS VivoBook Pro 16X OLED Laptop, 16"" WQUXGA 16:10 Display, Intel Core i7-11370H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Windows 11 Pro, DialPad, Comet Grey, N7600PC-NB74",None,"{'Type': ' Gaming', 'Resolution': ' 3840 x 2400', 'Weight': ' 4.30 lbs.', 'Graphics Card': ' NVIDIA GeForce RTX 3050 Laptop GPU', 'Model #': ' N7600PC-NB74', 'Item #': ' N82E16834236012', 'Return Policy': ' Extended Holiday Return Policy'}","1,099.99",Free Shipping,(2 Offers)
2267,None,"New HP 17t Laptop, 17.3"" HD+ Touch Screen Intel core i7-1165G7 Intel Iris XE 32GB DDR4 RAM 2TB PCIe SSD Backlit Keyboard Windows 11 Home Silver",None,"{'Type': ' Work / Business', 'Color': ' Silver', 'Model #': ' B2C_17-cn0065cl_32_2SD_Home_Rev1', 'Return Policy': ' View Return Policy'}","1,224.00",Free Shipping,(10 Offers)
2268,Lowest price,"Acer Laptop Aspire 5 Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit A515-57-731E","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.88 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.K3KAA.006', 'Item #': ' N82E16834360185', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
2269,None,"MSI Laptop Intel Core i7 12th Gen 1280P (1.80GHz) 16GB Memory 1TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14Evo A12M-231",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.60 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' Prestige14EvoA12M231', 'Item #': ' N82E16834156264', 'Return Policy': ' Extended Holiday Return Policy'}",649.00,Free Shipping,(2 Offers)
